"","Age","Market.Value","New.International.Reputation","New.Weak.Foot","New.Skill.Moves","Position","New.Height..CM.","New.Weight.lbs.","New.LS","New.LW","New.LF","NEW.LAM","New.LM","New.LCM","New.LWB","New.LDM","New.LB","New.LCB","New.Crossing","New.Finishing","New.HeadingAccuracy","New.ShortPassing","New.Volleys","New.Dribbling","New.Curve","New.FKAccuracy","New.LongPassing","New.BallControl","New.Acceleration","New.SpringSpeed","New.Agility","New.Reactions","New.Balance","New.ShotPower","New.Jumping","New.Stamina","New.Strength","New.LongShots","New.Aggression","New.Interceptions","New.Positioning","New.Vision","New.Penalties","New.Composure","New.Markiing","New.StandingTackle","New.SlidingTackle","New.GKDiving","New.GKHandling","New.GKKicking","New.GKPositioning","New.GKReflexes"
"12",20,4.442651256,1,4,4,"ST",175,174,80,76,78,75,74,67,57,55,55,54,56,82,79,62,68,78,71,33,50,79,82,83,79,75,70,79,81,75,86,68,74,31,79,72,59,77,46,22,25,11,8,8,8,13
"13",24,2.564949357,1,2,1,"GK",185,185,60,61,61,61,62,60,60,59,59,58,12,13,20,22,19,20,19,13,18,24,28,32,48,70,34,19,62,30,52,18,25,20,10,48,18,37,14,18,13,72,68,63,70,74
"14",26,3.784189634,1,3,4,"RDM",178,176,73,75,75,76,76,77,77,77,76,73,67,63,59,78,60,76,65,73,74,75,74,82,78,76,74,81,68,84,66,79,77,75,70,75,60,75,69,75,74,14,9,12,13,8
"15",32,2.397895273,1,4,2,"CM",175,157,62,64,64,67,65,70,67,71,66,69,64,54,59,75,43,60,75,72,76,69,53,55,70,67,71,60,72,63,73,64,72,69,59,68,57,62,62,71,60,12,12,13,14,12
"16",29,5.272999559,3,4,4,"LCM",188,179,80,80,81,82,81,84,83,85,83,84,69,71,80,89,77,78,69,68,79,84,67,74,78,84,60,78,76,86,82,74,82,80,75,79,81,89,80,79,85,5,7,7,10,7
"17",27,5.843544417,3,3,2,"LCB",188,196,55,54,55,55,58,61,74,78,78,87,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5
"18",20,1.791759469,1,3,3,"ST",185,170,69,70,70,70,69,64,51,48,47,40,56,69,63,70,66,72,61,58,58,70,71,73,69,63,57,70,69,75,66,68,31,20,65,68,70,57,21,17,20,9,11,6,13,13
"19",27,4.553876892,2,4,4,"LM",183,170,75,80,79,81,81,79,75,73,73,67,78,74,60,82,73,84,78,72,75,84,75,76,75,74,73,68,65,77,63,74,66,70,76,80,72,78,50,64,70,4,5,3,4,8
"20",33,2.708050201,1,3,2,"RCB",188,185,60,54,57,56,55,60,62,67,63,73,39,44,75,62,63,62,44,52,53,65,42,44,40,72,45,68,56,53,87,45,76,73,42,45,59,73,72,70,62,16,10,15,8,11
"21",21,3.218875825,1,2,1,"GK",191,176,60,61,61,61,62,60,60,59,59,58,13,16,19,29,18,19,12,12,19,18,55,49,53,51,51,23,65,25,55,19,24,11,9,30,22,56,10,10,10,78,72,72,73,78
"22",28,3.091042453,1,3,3,"RM",183,181,69,72,72,73,72,74,66,68,64,61,67,69,48,75,59,70,69,66,75,75,65,62,67,68,72,69,64,76,69,72,60,62,73,72,76,73,52,63,45,11,16,12,11,14
"23",21,1.945910149,1,4,3,"RW",165,141,66,70,69,68,69,62,58,52,55,47,55,60,51,62,62,74,43,56,44,68,89,85,90,67,83,69,66,76,36,58,62,39,63,65,60,60,48,29,29,11,12,9,10,12
"24",30,3.258096538,1,3,2,"LB",183,168,65,69,68,67,71,68,75,71,74,73,75,37,64,69,33,75,63,40,52,74,73,77,68,73,61,72,72,85,76,43,74,69,70,58,45,73,68,75,71,12,7,11,7,6
"25",26,2.708050201,2,3,3,"ST",183,161,72,70,71,69,67,60,52,47,48,44,60,72,68,68,72,69,69,51,25,73,67,70,70,65,63,73,70,65,69,69,41,35,73,63,64,68,38,11,12,14,12,11,11,7
"26",21,4.65396035,2,3,3,"LCM",180,176,71,74,74,77,76,80,76,79,74,73,75,61,51,84,74,73,79,83,85,80,64,64,65,77,70,83,68,78,70,83,82,75,61,83,62,83,69,74,69,16,12,10,8,10
"27",30,4.007333185,1,3,2,"CB",188,157,54,53,53,56,56,63,69,74,71,77,42,33,80,72,40,49,52,43,77,48,57,59,69,78,61,42,79,72,72,37,76,78,44,46,47,72,80,77,78,10,15,13,15,8
"28",25,4.553876892,3,3,4,"LB",180,170,73,77,76,77,78,79,81,81,81,79,86,59,64,78,67,76,82,84,78,78,73,73,73,80,70,78,73,77,75,72,75,80,68,74,83,80,80,78,78,14,13,14,14,11
"29",24,2.397895273,1,3,3,"LW",178,161,65,71,68,69,70,61,51,47,47,36,66,70,43,70,53,74,61,30,64,70,78,83,91,65,80,47,49,48,51,46,25,35,66,53,49,66,17,15,15,11,8,7,14,12
"30",28,4.007333185,1,3,2,"RCB",185,165,55,52,53,54,55,60,68,72,70,78,43,49,73,70,29,36,38,35,57,58,54,63,50,67,59,40,78,76,80,30,89,76,44,46,32,70,78,79,76,14,12,13,9,10
"31",18,2.397895273,1,3,2,"CB",193,174,62,59,61,62,59,64,65,69,66,70,33,55,66,68,42,60,66,71,65,65,65,68,59,63,57,83,72,69,76,68,60,67,33,57,37,62,68,73,70,10,13,9,7,6
"32",19,3.496507561,1,3,2,"CB",185,179,55,56,55,57,60,63,72,73,74,75,57,26,70,77,26,46,31,29,62,65,69,74,67,72,54,60,74,76,74,33,69,75,37,42,33,73,72,79,73,14,9,11,6,7
"33",25,2.564949357,1,3,2,"CB",188,168,52,51,52,54,53,57,62,66,64,72,32,29,71,66,28,50,35,32,50,59,59,65,56,72,63,47,73,50,78,31,76,66,30,49,46,70,71,72,67,14,15,15,14,13
"34",22,2.302585093,1,3,1,"GK",183,165,60,61,61,61,62,60,60,59,59,58,12,19,20,56,20,17,18,15,50,38,45,41,48,66,38,25,38,29,42,14,24,11,15,33,26,46,28,14,13,68,72,61,67,71
"35",30,2.397895273,1,3,3,"ST",183,168,71,68,69,68,67,63,53,53,51,50,59,69,74,67,69,68,58,42,62,68,68,66,69,68,70,72,68,66,77,66,75,28,66,60,73,71,25,31,30,12,9,9,9,7
"36",31,1.386294361,1,3,3,"RB",175,154,60,64,62,62,65,63,70,66,70,66,68,46,52,64,49,63,53,62,53,65,78,75,77,65,80,67,81,81,57,54,60,68,52,55,62,66,65,68,68,11,9,9,14,10
"37",26,3.33220451,1,3,3,"RB",175,157,68,72,71,71,73,71,75,72,75,72,73,48,69,71,32,74,71,34,70,73,86,80,72,74,82,68,90,76,62,58,73,72,69,63,47,62,67,72,71,10,14,9,7,16
"38",30,1.791759469,1,3,3,"CM",178,176,69,68,69,70,68,70,66,67,65,64,55,73,58,69,54,63,34,31,68,68,64,66,77,65,65,66,90,86,79,69,55,63,68,70,58,63,57,60,54,10,14,13,8,11
"39",31,3.80666249,2,3,2,"LCB",193,192,57,54,57,58,59,65,69,74,70,77,47,28,76,66,23,51,39,34,67,60,55,49,40,75,36,69,63,82,89,41,81,78,50,64,42,71,74,75,74,9,11,6,11,14
"40",26,3.583518938,1,3,4,"CAM",178,165,69,75,74,76,75,71,59,58,56,47,66,64,51,74,61,75,72,73,71,76,81,72,82,74,67,55,51,71,54,62,57,41,77,76,71,78,26,33,32,13,8,10,9,10
"41",27,2.397895273,2,4,2,"RB",175,157,59,63,62,63,64,64,70,69,70,70,61,41,51,67,48,65,64,58,56,67,73,67,77,70,80,64,72,64,59,55,78,71,49,53,48,68,69,73,75,7,15,8,10,6
"42",31,3.737669618,1,4,3,"RM",183,179,76,77,76,76,76,73,67,65,65,60,74,71,67,72,70,81,83,79,71,78,77,75,79,72,56,78,64,70,73,77,50,57,75,68,75,72,42,55,51,5,9,6,15,14
"43",25,2.944438979,1,3,2,"CDM",175,150,55,60,59,63,64,69,70,73,70,69,57,32,54,74,48,61,58,53,72,70,60,53,73,69,73,59,64,85,60,37,65,75,44,67,55,70,72,68,68,7,14,10,12,12
"44",23,2.63905733,1,3,2,"RCB",191,172,50,47,48,48,49,54,62,67,64,72,34,30,74,65,27,48,27,27,44,55,56,37,44,66,49,50,49,73,78,31,81,72,31,30,45,64,68,76,68,9,9,14,14,13
"45",30,3.63758616,2,3,4,"RM",185,185,75,75,74,74,75,74,78,76,78,78,80,64,83,76,61,74,68,62,71,76,75,75,68,78,58,74,78,77,78,74,71,74,71,62,52,72,74,77,75,15,11,10,14,14
"46",31,1.609437912,1,3,3,"LS",183,172,68,70,69,67,70,60,56,50,53,46,64,65,55,64,57,70,63,60,44,64,91,90,73,64,69,68,62,80,67,58,67,24,65,64,55,73,37,23,25,6,9,16,11,7
"47",22,3.465735903,1,4,3,"ST",178,174,75,72,73,71,71,66,55,56,53,54,54,74,72,67,49,74,60,26,62,72,79,78,61,65,80,75,77,74,85,63,81,28,78,63,61,69,44,36,17,13,13,9,12,8
"48",25,1.791759469,1,3,3,"RW",180,154,70,71,70,70,71,66,58,54,55,47,66,73,64,68,63,73,61,41,65,71,67,71,78,71,76,66,36,76,69,57,29,36,66,64,59,63,26,36,32,16,13,12,11,11
"49",22,3.610917913,1,4,3,"CM",173,150,69,74,74,76,75,75,71,72,69,66,63,65,50,76,50,73,63,66,75,74,74,74,87,74,79,71,72,87,63,69,65,59,69,80,69,80,76,63,54,5,13,10,8,12
"50",37,3.36729583,1,3,3,"RCM",175,168,70,72,72,74,72,74,69,71,68,66,62,67,55,75,60,72,72,70,76,72,65,66,78,74,72,75,62,74,77,67,50,68,68,77,69,78,62,64,61,11,6,12,13,10
"51",27,1.791759469,1,3,3,"RM",178,172,69,70,69,68,70,62,60,56,58,54,66,65,60,65,60,66,55,38,46,65,87,87,85,67,76,67,84,77,70,56,71,48,68,64,65,73,49,28,32,14,10,11,8,16
"52",36,3.784189634,2,3,1,"GK",183,179,60,61,61,61,62,60,60,59,59,58,17,12,22,36,17,14,23,10,32,18,47,34,69,74,35,25,67,40,52,12,29,12,12,47,23,68,17,19,10,79,69,79,75,75
"53",23,3.218875825,1,4,4,"RW",178,159,70,75,74,73,73,67,61,57,58,51,70,67,48,68,66,79,68,66,53,75,84,77,92,68,72,76,83,71,60,67,68,36,70,69,70,64,36,41,39,8,7,16,11,13
"54",30,4.094344562,2,3,2,"CB",191,190,56,55,55,57,58,63,70,73,72,78,51,25,77,68,30,61,51,36,67,59,59,64,57,70,54,68,74,64,80,46,72,80,33,50,39,69,76,81,80,5,3,5,4,4
"55",33,2.63905733,2,2,3,"RM",170,170,66,72,70,72,71,67,60,57,56,49,72,64,34,72,71,73,61,28,70,73,70,69,77,71,87,68,71,53,63,55,36,39,68,70,63,69,43,37,46,15,11,8,10,15
"56",27,2.564949357,1,3,3,"LWB",178,165,70,70,70,69,71,69,71,70,71,71,65,66,68,66,66,70,63,52,66,70,77,78,69,71,75,65,80,83,78,57,81,64,69,60,54,71,65,68,67,6,12,12,8,8
"57",27,2.63905733,1,3,2,"CB",185,172,46,41,43,44,45,52,60,65,63,71,30,19,74,60,18,38,29,30,55,54,43,44,41,65,37,57,79,67,78,31,78,69,21,29,21,62,55,77,75,11,11,7,11,12
"58",23,3.737669618,2,4,3,"LW",185,183,73,77,76,76,77,72,63,60,59,54,76,61,68,77,72,86,82,72,67,87,79,78,79,68,75,76,68,73,75,72,50,30,62,68,72,70,41,42,34,11,5,10,9,12
"59",28,2.397895273,1,3,3,"RCM",180,157,62,66,66,68,67,71,68,70,66,65,58,57,51,70,49,68,68,59,69,72,62,54,72,73,70,59,82,80,70,61,59,74,53,71,70,58,60,60,59,12,9,6,16,10
"60",21,1.791759469,1,3,3,"RB",183,172,56,60,57,58,63,59,69,66,69,68,66,44,58,65,33,66,36,29,57,66,74,75,67,61,63,46,67,77,70,31,68,59,39,38,43,67,69,69,72,12,12,9,7,9
"61",24,4.442651256,2,3,5,"LW",165,137,72,81,79,79,81,75,73,66,69,57,78,65,48,73,55,85,78,76,67,84,93,90,91,82,91,68,60,87,33,64,71,59,75,72,56,81,42,50,53,12,8,9,11,10
"62",26,1.609437912,1,3,3,"RB",183,157,61,64,62,63,66,65,70,68,70,69,71,43,62,66,35,64,61,44,60,66,74,67,71,63,63,62,87,81,67,43,65,65,60,61,49,65,67,72,66,9,13,8,8,6
"63",30,2.48490665,1,3,2,"LCB",185,157,43,43,42,44,46,51,60,64,63,70,42,13,70,49,23,40,31,27,54,46,35,52,59,66,59,27,75,78,84,36,75,67,37,34,32,58,70,70,69,7,6,7,7,8
"64",31,2.48490665,1,3,2,"CDM",188,174,57,56,57,58,58,63,66,70,67,73,51,35,72,68,43,54,50,43,64,63,59,58,39,65,33,59,68,66,82,55,74,73,43,54,59,66,72,72,67,7,14,7,14,15
"65",27,2.944438979,1,2,3,"LWB",183,172,58,64,62,62,66,64,72,69,72,69,73,36,54,66,24,65,66,53,51,69,71,71,67,71,66,57,64,80,66,34,64,68,57,57,52,65,71,74,66,9,16,8,7,15
"66",19,4.317488114,1,2,3,"LB",180,161,73,77,75,75,78,74,79,75,78,74,76,59,64,77,48,78,65,55,68,78,89,91,75,77,75,75,69,84,73,62,67,71,71,63,46,72,74,73,75,10,8,14,6,8
"67",30,1.098612289,1,3,2,"CDM",188,181,59,61,60,62,64,65,69,69,70,72,58,33,78,64,30,58,60,40,60,60,68,73,73,69,55,53,90,81,78,32,62,78,63,67,61,68,64,67,66,12,12,10,12,5
"68",24,4.17438727,2,3,3,"LCM",183,187,73,76,76,77,77,78,76,76,75,73,72,55,68,82,68,81,72,68,77,82,76,77,71,73,74,83,46,75,73,78,70,72,68,74,68,70,70,73,66,12,9,15,8,16
"69",21,0.693147181,1,3,2,"LCB",188,183,54,56,55,58,59,63,66,69,68,70,49,25,61,69,39,52,39,22,67,66,64,79,54,69,49,59,65,65,81,45,70,61,29,59,26,65,62,73,73,14,14,11,12,10
"70",30,3.496507561,1,3,2,"LCB",188,183,53,47,50,48,48,53,61,67,65,76,40,27,76,44,50,46,49,45,39,66,32,35,47,69,45,69,46,52,88,22,80,79,42,49,71,62,74,80,77,6,13,15,16,14
"71",30,3.737669618,1,4,3,"ST",178,159,76,76,76,75,75,68,58,53,55,46,70,76,72,67,66,76,57,56,57,75,82,81,86,75,67,77,64,84,65,72,45,31,76,70,72,64,24,24,26,8,9,14,12,14
"72",29,2.708050201,1,3,3,"CF",183,159,72,72,72,71,72,69,65,64,64,62,67,73,72,65,66,72,69,61,63,72,71,74,69,74,68,68,83,80,64,67,74,55,72,65,71,63,41,59,49,8,8,14,7,10
"73",34,3.218875825,1,3,3,"CAM",173,141,70,74,73,73,74,69,64,59,61,52,76,66,56,76,72,72,77,76,63,75,80,84,81,67,79,74,52,67,50,68,45,47,68,68,68,76,28,51,44,11,13,13,9,7
"74",28,3.044522438,1,2,1,"GK",188,192,60,61,61,61,62,60,60,59,59,58,13,12,13,39,12,21,10,19,41,24,34,32,58,69,43,17,58,36,77,13,32,23,16,62,17,64,24,15,14,74,67,68,72,77
"75",26,2.397895273,1,3,3,"ST",175,172,70,70,71,69,69,62,53,50,50,44,57,74,57,62,68,69,43,31,52,67,78,75,78,69,73,71,68,70,60,56,38,32,75,67,66,65,56,16,10,7,7,12,13,15
"76",29,4.553876892,2,4,3,"CDM",185,176,69,71,72,75,73,79,77,81,76,77,69,54,66,82,66,72,64,58,82,80,55,56,68,78,64,72,58,79,71,74,76,80,62,78,68,72,79,78,76,8,9,14,15,6
"77",30,2.944438979,2,3,3,"ST",193,185,73,70,72,71,70,67,56,58,54,55,61,71,76,70,70,69,68,45,67,70,68,65,58,70,48,75,69,65,84,67,68,29,70,73,84,80,52,36,28,15,7,7,8,15
"78",29,4.317488114,3,4,3,"CM",175,152,74,77,77,79,77,80,76,78,75,73,77,67,61,81,75,78,79,75,80,80,64,57,70,76,68,83,53,69,59,79,79,80,73,78,85,79,60,78,73,15,6,8,10,7
"79",26,2.48490665,1,2,2,"RB",175,163,58,58,57,57,61,60,70,68,71,71,57,32,58,59,50,48,44,39,55,62,80,76,79,78,84,69,78,83,78,37,85,62,49,47,36,64,67,72,75,12,11,9,9,10
"80",23,5.616771098,2,4,4,"CM",191,168,83,81,83,84,82,85,79,82,78,81,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
"81",25,2.48490665,1,3,3,"LB",185,176,63,66,64,65,68,66,71,69,71,70,76,45,70,69,37,66,70,31,67,70,73,75,61,59,70,64,69,71,75,42,69,63,63,59,38,65,65,71,72,12,13,6,8,9
"82",21,4.317488114,1,4,3,"RCM",180,165,72,74,75,76,76,79,75,77,74,72,65,61,65,79,46,77,58,48,77,79,66,69,74,76,67,77,53,96,74,80,68,68,69,74,45,75,72,75,63,15,10,13,15,8
"83",33,2.564949357,1,3,1,"GK",191,183,60,61,61,61,62,60,60,59,59,58,11,19,14,21,15,14,19,14,29,21,48,50,33,70,41,22,63,34,63,12,41,24,13,42,11,67,13,14,13,70,69,66,72,71
"84",30,2.197224577,1,3,3,"RCB",178,159,63,68,66,67,68,67,71,69,70,70,64,39,61,71,49,71,59,59,64,68,78,85,84,68,75,62,85,66,64,54,71,68,62,59,49,77,67,70,66,16,8,11,12,6
"85",36,5.416100402,5,4,5,"RS",196,209,86,81,84,83,80,77,59,61,55,56,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,13,15,10,9,12
"86",28,4.442651256,1,3,2,"RCB",183,179,70,67,69,70,68,73,73,78,74,79,53,65,74,79,56,64,48,46,64,76,57,59,51,72,55,77,74,75,84,64,78,80,59,68,50,67,77,82,76,9,12,7,11,15
"87",29,2.48490665,1,4,3,"CAM",180,165,69,70,70,71,70,70,65,67,64,63,63,67,60,75,65,67,65,68,72,72,70,65,67,69,65,68,52,59,64,71,70,62,68,67,66,66,59,57,54,13,13,11,15,10
"88",24,3.526360525,1,3,1,"GK",191,198,60,61,61,61,62,60,60,59,59,58,13,10,24,24,19,18,14,20,22,27,43,41,58,71,57,22,71,28,74,14,37,13,13,58,20,30,28,18,12,79,73,70,69,78
"89",21,2.708050201,1,4,4,"ST",175,143,73,73,73,70,71,60,53,46,50,43,61,69,62,63,71,75,66,55,38,74,87,85,85,73,87,77,71,65,63,68,46,21,70,57,70,64,28,19,21,15,10,7,14,11
"90",27,2.890371758,1,2,3,"LWB",183,172,62,67,65,67,69,68,72,70,72,73,71,28,72,68,35,75,52,34,63,71,76,78,74,66,64,53,77,67,73,44,68,69,70,63,49,59,71,72,72,9,14,12,12,13
"91",31,2.48490665,1,3,3,"RDM",193,181,61,60,60,61,62,66,68,72,68,74,53,39,73,71,50,63,53,51,68,74,53,56,64,63,68,68,68,75,87,53,77,70,50,47,49,68,71,70,69,7,13,12,15,7
"92",28,3.891820298,1,2,1,"GK",193,192,60,61,61,61,62,60,60,59,59,58,12,12,16,19,9,14,18,11,11,19,50,48,59,76,29,24,74,30,70,12,13,26,11,56,14,48,18,18,12,82,75,67,73,78
"93",30,4.17438727,1,4,3,"RB",175,152,66,71,69,70,73,71,79,75,78,75,79,34,68,75,40,77,68,34,61,76,77,75,77,77,74,71,72,86,64,65,74,74,69,52,41,73,76,76,77,13,7,15,7,14
"94",18,2.079441542,1,3,3,"CM",183,179,65,69,69,70,70,69,65,66,63,61,62,53,47,73,55,73,66,65,69,74,68,72,72,62,72,72,62,68,69,51,72,56,68,68,55,65,53,58,55,13,9,10,12,11
"95",33,2.48490665,2,3,3,"RB",183,176,64,67,67,68,70,70,72,73,72,72,72,42,63,74,59,69,75,66,69,72,67,66,67,70,67,66,65,71,68,44,73,72,67,66,42,71,73,70,70,13,8,11,14,10
"96",36,2.48490665,2,4,3,"RW",188,179,70,67,69,68,67,64,52,53,49,50,61,70,71,68,71,66,63,66,54,67,52,63,37,68,63,70,73,60,77,70,70,35,73,70,72,62,37,21,23,6,14,10,15,14
"97",19,2.397895273,1,3,3,"LM",175,159,65,73,71,71,71,62,53,46,50,38,62,64,36,66,38,78,64,38,42,76,80,82,79,72,77,58,43,54,42,66,34,18,65,66,48,63,26,27,29,5,9,8,8,7
"98",29,3.17805383,2,4,2,"CAM",185,181,75,70,73,73,71,74,65,68,64,65,63,76,79,75,77,67,66,70,73,73,45,49,62,74,60,80,76,77,76,76,58,60,81,73,72,77,61,54,52,10,11,14,16,10
"99",29,3.258096538,1,3,2,"CB",188,187,59,58,59,62,60,67,67,73,68,74,50,36,72,70,49,56,63,42,73,67,44,47,54,68,46,57,80,70,84,52,68,70,60,61,45,77,76,74,71,15,13,15,8,11
"100",27,4.17438727,1,3,2,"RCB",185,181,53,52,52,55,56,61,69,74,71,78,41,31,80,70,33,54,31,30,61,67,55,53,55,77,65,48,75,68,78,23,79,78,21,45,35,70,77,78,77,14,12,7,14,12
"101",27,3.258096538,1,3,1,"GK",188,176,60,61,61,61,62,60,60,59,59,58,11,12,13,24,13,11,17,17,15,20,41,43,45,70,41,21,63,32,52,16,30,12,12,54,19,63,12,9,19,78,69,64,69,78
"102",27,2.48490665,1,3,1,"GK",183,185,60,61,61,61,62,60,60,59,59,58,11,15,12,29,13,18,19,12,25,15,37,44,33,61,65,21,67,36,65,12,15,24,14,64,21,68,18,12,14,72,68,62,71,73
"103",34,2.397895273,1,3,2,"LCB",193,183,50,49,50,51,52,56,61,66,63,70,42,31,70,62,33,53,42,21,58,60,46,46,56,67,49,52,71,58,80,28,68,70,25,45,42,72,72,66,66,8,9,7,8,6
"104",30,0.693147181,1,2,1,"GK",183,176,60,61,61,61,62,60,60,59,59,58,19,13,20,38,16,13,22,20,34,19,51,55,68,67,58,25,80,43,67,12,32,21,14,33,25,51,24,21,19,73,66,63,62,71
"105",28,2.772588722,1,3,2,"LCB",188,183,47,39,40,40,41,45,58,62,63,73,22,35,72,50,37,25,31,18,45,50,52,61,55,57,55,40,80,59,85,25,68,72,22,17,34,65,73,75,75,12,10,10,9,10
"106",26,2.079441542,1,2,2,"RCB",188,185,49,48,48,48,51,51,63,63,65,70,38,19,67,59,27,44,26,28,44,53,69,76,58,67,60,49,86,68,77,22,69,66,34,31,50,63,69,71,64,12,9,12,7,13
"107",29,2.564949357,2,3,2,"RB",185,170,66,69,68,68,70,70,73,72,72,68,72,66,39,69,57,63,70,57,67,67,67,73,62,71,54,66,33,89,68,64,87,72,69,66,26,68,66,68,72,9,14,12,7,10
"108",27,4.744932128,2,3,4,"RS",185,185,81,76,79,76,74,69,63,62,62,64,52,80,79,71,81,77,71,56,45,79,79,79,76,78,69,85,89,76,88,72,87,40,83,66,79,72,54,42,50,7,13,9,7,9
"109",27,1.098612289,1,2,1,"GK",196,205,60,61,61,61,62,60,60,59,59,58,11,10,12,27,9,10,12,8,21,20,19,19,18,68,27,18,42,25,53,13,22,11,8,15,19,21,14,9,8,71,65,66,65,71
"110",41,4.007333185,2,3,1,"GK",180,187,60,61,61,61,62,60,60,59,59,58,14,12,12,30,8,21,15,22,22,24,31,32,50,73,68,29,56,22,62,16,22,22,14,51,21,55,13,13,14,75,75,74,78,77
"111",28,3.784189634,1,3,2,"CB",188,192,52,53,51,52,56,59,70,72,72,76,60,26,77,66,32,56,55,36,60,64,63,49,46,74,44,48,33,69,83,29,78,78,28,30,44,64,74,78,78,9,16,9,8,11
"112",28,3.850147602,1,3,2,"ST",188,198,76,69,73,71,69,69,57,60,55,59,59,77,84,68,70,65,61,46,60,76,50,55,50,76,60,80,89,73,84,71,80,42,78,70,79,75,42,38,29,13,14,9,9,7
"113",28,2.197224577,1,3,3,"LS",185,187,71,70,70,69,69,64,54,53,51,50,68,71,69,68,56,69,61,39,63,68,72,74,70,65,64,72,78,61,79,67,68,29,66,63,69,67,33,33,19,13,10,6,15,14
"114",29,2.48490665,1,3,2,"LB",188,183,66,66,66,65,67,66,70,68,70,70,73,61,70,61,53,65,55,53,60,70,63,64,58,64,55,69,78,76,73,66,57,68,61,62,50,64,68,72,70,13,7,7,12,7
"115",23,3.044522438,1,3,3,"ST",178,163,73,67,71,68,66,62,50,49,49,47,35,77,79,55,66,67,50,29,43,73,72,67,69,68,66,72,82,78,72,62,40,25,73,71,58,72,31,26,27,12,10,12,10,13
"116",30,2.564949357,1,3,2,"RB",180,170,45,40,41,40,42,46,59,61,62,71,40,21,68,42,35,26,25,21,41,44,50,57,60,63,67,55,91,66,80,27,85,70,29,34,16,57,74,71,68,14,8,7,12,10
